Fitness: 23168.0, gap: 0.008632596685082872, time: 2.75, bound 23166.0
Fitness: 27953.0, gap: 0.007154867098343648, time: 4.121000051498413, bound 27951.0
Fitness: 3025.0, gap: 0.0, time: 0.10199999809265137, bound 3025.0
Fitness: 4801.0, gap: 0.0, time: 0.19300007820129395, bound 4801.0
Fitness: 6785.0, gap: 0.0, time: 0.6570000648498535, bound 6785.0
Fitness: 28087.0, gap: 0.0, time: 4.370999813079834, bound 28087.0
Fitness: 9497.0, gap: 0.0, time: 2.5169999599456787, bound 9497.0
Fitness: 6568.0, gap: 0.0, time: 0.2539999485015869, bound 6568.0
Fitness: 38773.0, gap: 0.0, time: 5.884999990463257, bound 38773.0
Fitness: 19147.0, gap: 0.005222750300308142, time: 2.0139999389648438, bound 19146.0
Fitness: 208648.0, gap: 3.6405812660557495, time: 900.5239999294281, bound 201052.0
Fitness: 223928.0, gap: 0.46264870851345075, time: 901.6210000514984, bound 222892.0
Fitness: 373586.0, gap: 4.796753625671197, time: 900.3320000171661, bound 355666.0
Fitness: 287158.0, gap: 6.619352412260845, time: 900.3199999332428, bound 268150.0
Fitness: 203222.0, gap: 0.8876991664288316, time: 900.5449998378754, bound 201418.0
Fitness: 324592.0, gap: 9.219574111499975, time: 900.2890000343323, bound 294666.0
Fitness: 199248.0, gap: 16.909580020878504, time: 900.4539999961853, bound 165556.0
Fitness: 180060.0, gap: 14.712873486615571, time: 900.0720000267029, bound 153568.0
Fitness: 55143.0, gap: 0.007253867217960575, time: 198.07599997520447, bound 55139.0
Fitness: 39258.0, gap: 0.0, time: 496.4739999771118, bound 39258.0
